name,source_path,x0,x1,y0,y1
wall_path5_0047,path5,790,793,438,439
wall_path5_0048,path5,942,961,438,439
wall_path5_0049,path5,789,792,439,440
wall_path5_0050,path5,949,968,439,440
wall_path5_0051,path5,789,792,440,441
wall_path5_0052,path5,955,974,440,441
wall_path5_0053,path5,789,792,441,442
wall_path5_0054,path5,961,980,441,442
wall_path5_0055,path5,788,792,442,443
wall_path5_0056,path5,968,987,442,443
wall_path5_0057,path5,788,791,443,444
wall_path5_0058,path5,974,993,443,444
wall_path5_0059,path5,788,791,444,445
wall_path5_0060,path5,980,999,444,445
wall_path5_0061,path5,788,791,445,446
wall_path5_0062,path5,986,1006,445,446
wall_path5_0063,path5,787,790,446,447
wall_path5_0064,path5,993,1012,446,447
wall_path5_0065,path5,787,790,447,448
wall_path5_0066,path5,999,1018,447,448
wall_path5_0067,path5,787,790,448,449
wall_path5_0068,path5,1005,1019,448,449
wall_path5_0069,path5,786,789,449,450
wall_path5_0070,path5,1012,1019,449,450
wall_path5_0071,path5,786,789,450,451
wall_path5_0072,path5,786,789,451,452
wall_path5_0073,path5,785,789,452,453
wall_path5_0074,path5,785,788,453,454
wall_path5_0075,path5,785,788,454,455
wall_path5_0076,path5,785,788,455,456
wall_path5_0077,path5,784,787,456,457
wall_path5_0078,path5,784,787,457,458
wall_path5_0079,path5,784,787,458,459
wall_path5_0080,path5,783,786,459,460
wall_path5_0081,path5,783,786,460,461
wall_path5_0082,path5,783,786,461,462
wall_path5_0083,path5,782,786,462,463
wall_path5_0084,path5,782,785,463,464
wall_path5_0085,path5,782,785,464,465
wall_path6_0000,path6,204,208,149,150
wall_path6_0001,path6,203,210,150,151
wall_path6_0002,path6,203,212,151,152
wall_path6_0003,path6,202,205,152,153
wall_path6_0004,path6,207,214,152,153
wall_path6_0005,path6,202,205,153,154
wall_path6_0006,path6,209,216,153,154
wall_path6_0007,path6,201,204,154,155
wall_path6_0008,path6,211,218,154,155
wall_path6_0009,path6,201,204,155,156
wall_path6_0010,path6,213,221,155,156
wall_path6_0011,path6,200,203,156,157
wall_path6_0012,path6,216,223,156,157
wall_path6_0013,path6,200,203,157,158
wall_path6_0014,path6,218,225,157,158
wall_path6_0015,path6,199,202,158,159
wall_path6_0016,path6,220,227,158,159
wall_path6_0017,path6,199,202,159,160
wall_path6_0018,path6,222,229,159,160
wall_path6_0019,path6,198,201,160,161
wall_path6_0020,path6,224,232,160,161
wall_path6_0021,path6,198,201,161,162
wall_path6_0022,path6,227,234,161,162
wall_path6_0023,path6,197,200,162,163
wall_path6_0024,path6,229,236,162,163
wall_path6_0025,path6,197,200,163,164
wall_path6_0026,path6,231,238,163,164
wall_path6_0027,path6,196,199,164,165
wall_path6_0028,path6,233,240,164,165
wall_path6_0029,path6,196,199,165,166
wall_path6_0030,path6,235,242,165,166
wall_path6_0031,path6,195,198,166,167
wall_path6_0032,path6,237,245,166,167
wall_path6_0033,path6,195,198,167,168
wall_path6_0034,path6,240,247,167,168
wall_path6_0035,path6,194,197,168,169
wall_path6_0036,path6,242,249,168,169
wall_path6_0037,path6,194,197,169,170
wall_path6_0038,path6,244,251,169,170
wall_path6_0039,path6,193,196,170,171
wall_path6_0040,path6,246,253,170,171
wall_path6_0041,path6,193,196,171,172
wall_path6_0042,path6,248,256,171,172
wall_path6_0043,path6,192,195,172,173
wall_path6_0044,path6,251,258,172,173
wall_path6_0045,path6,192,195,173,174
wall_path6_0046,path6,253,260,173,174
wall_path6_0047,path6,191,194,174,175
wall_path6_0048,path6,255,262,174,175
wall_path6_0049,path6,191,194,175,176
wall_path6_0050,path6,257,264,175,176
wall_path6_0051,path6,190,193,176,177
wall_path6_0052,path6,259,266,176,177
wall_path6_0053,path6,190,193,177,178
wall_path6_0054,path6,261,269,177,178
wall_path6_0055,path6,189,192,178,179
wall_path6_0056,path6,264,271,178,179
wall_path6_0057,path6,188,192,179,180
wall_path6_0058,path6,266,273,179,180
wall_path6_0059,path6,187,191,180,181
wall_path6_0060,path6,268,275,180,181
wall_path6_0061,path6,185,190,181,182
wall_path6_0062,path6,270,277,181,182
wall_path6_0063,path6,184,189,182,183
wall_path6_0064,path6,272,280,182,183
wall_path6_0065,path6,182,188,183,184
wall_path6_0066,path6,229,231,183,184
wall_path6_0067,path6,275,282,183,184
wall_path6_0068,path6,181,186,184,185
wall_path6_0069,path6,228,232,184,185
wall_path6_0070,path6,277,284,184,185
wall_path6_0071,path6,180,185,185,186
wall_path6_0072,path6,227,234,185,186
wall_path6_0073,path6,279,286,185,186
wall_path6_0074,path6,178,183,186,187
wall_path6_0075,path6,226,236,186,187
wall_path6_0076,path6,281,288,186,187
wall_path6_0077,path6,177,182,187,188
wall_path6_0078,path6,225,229,187,188
wall_path6_0079,path6,232,238,187,188
wall_path6_0080,path6,283,290,187,188
wall_path6_0081,path6,175,181,188,189
wall_path6_0082,path6,224,228,188,189
wall_path6_0083,path6,233,239,188,189
wall_path6_0084,path6,285,293,188,189
wall_path6_0085,path6,174,179,189,190
wall_path6_0086,path6,223,227,189,190
wall_path6_0087,path6,235,241,189,190
wall_path6_0088,path6,288,295,189,190
wall_path6_0089,path6,173,178,190,191
wall_path6_0090,path6,222,226,190,191
wall_path6_0091,path6,237,243,190,191
wall_path6_0092,path6,290,297,190,191
wall_path6_0093,path6,171,176,191,192
wall_path6_0094,path6,221,225,191,192
wall_path6_0095,path6,239,245,191,192
wall_path6_0096,path6,292,299,191,192
wall_path6_0097,path6,170,175,192,193
wall_path6_0098,path6,220,224,192,193
wall_path6_0099,path6,240,246,192,193
wall_path6_0100,path6,294,301,192,193
wall_path6_0101,path6,168,174,193,194
wall_path6_0102,path6,219,223,193,194
wall_path6_0103,path6,242,248,193,194
wall_path6_0104,path6,296,304,193,194
wall_path6_0105,path6,167,172,194,195
wall_path6_0106,path6,218,222,194,195
wall_path6_0107,path6,244,250,194,195
wall_path6_0108,path6,299,306,194,195
wall_path6_0109,path6,166,171,195,196
wall_path6_0110,path6,217,221,195,196
wall_path6_0111,path6,246,252,195,196
wall_path6_0112,path6,301,308,195,196
wall_path6_0113,path6,164,169,196,197
wall_path6_0114,path6,216,220,196,197
wall_path6_0115,path6,247,253,196,197
wall_path6_0116,path6,303,310,196,197
wall_path6_0117,path6,163,168,197,198
wall_path6_0118,path6,215,219,197,198
wall_path6_0119,path6,249,255,197,198
wall_path6_0120,path6,305,312,197,198
wall_path6_0121,path6,161,167,198,199
wall_path6_0122,path6,214,218,198,199
wall_path6_0123,path6,251,257,198,199
wall_path6_0124,path6,307,315,198,199
wall_path6_0125,path6,160,165,199,200
wall_path6_0126,path6,213,217,199,200
wall_path6_0127,path6,253,259,199,200
wall_path6_0128,path6,310,317,199,200
wall_path6_0129,path6,159,164,200,201
wall_path6_0130,path6,212,216,200,201
wall_path6_0131,path6,254,260,200,201
wall_path6_0132,path6,312,319,200,201
wall_path6_0133,path6,157,162,201,202
wall_path6_0134,path6,211,215,201,202
wall_path6_0135,path6,256,262,201,202
wall_path6_0136,path6,314,321,201,202
wall_path6_0137,path6,156,161,202,203
wall_path6_0138,path6,210,214,202,203
wall_path6_0139,path6,258,264,202,203
wall_path6_0140,path6,316,323,202,203
wall_path6_0141,path6,154,160,203,204
wall_path6_0142,path6,209,213,203,204
wall_path6_0143,path6,260,266,203,204
wall_path6_0144,path6,318,325,203,204
wall_path6_0145,path6,154,158,204,205
wall_path6_0146,path6,208,212,204,205
wall_path6_0147,path6,261,267,204,205
wall_path6_0148,path6,320,328,204,205
wall_path6_0149,path6,154,158,205,206
wall_path6_0150,path6,207,211,205,206
wall_path6_0151,path6,263,269,205,206
wall_path6_0152,path6,323,330,205,206
wall_path6_0153,path6,155,158,206,207
wall_path6_0154,path6,206,210,206,207
wall_path6_0155,path6,265,271,206,207
wall_path6_0156,path6,325,332,206,207
wall_path6_0157,path6,155,159,207,208
wall_path6_0158,path6,205,209,207,208
wall_path6_0159,path6,267,273,207,208
wall_path6_0160,path6,327,334,207,208
wall_path6_0161,path6,156,160,208,209
wall_path6_0162,path6,204,208,208,209
wall_path6_0163,path6,268,274,208,209
wall_path6_0164,path6,329,336,208,209
wall_path6_0165,path6,157,161,209,210
wall_path6_0166,path6,203,207,209,210
wall_path6_0167,path6,270,276,209,210
wall_path6_0168,path6,331,339,209,210
wall_path6_0169,path6,158,162,210,211
wall_path6_0170,path6,202,206,210,211
wall_path6_0171,path6,272,278,210,211
wall_path6_0172,path6,334,341,210,211
wall_path6_0173,path6,159,162,211,212
wall_path6_0174,path6,201,205,211,212
wall_path6_0175,path6,274,280,211,212
wall_path6_0176,path6,336,343,211,212
wall_path6_0177,path6,159,163,212,213
wall_path6_0178,path6,200,204,212,213
wall_path6_0179,path6,275,281,212,213
wall_path6_0180,path6,338,345,212,213
wall_path6_0181,path6,160,164,213,214
wall_path6_0182,path6,199,203,213,214
wall_path6_0183,path6,277,283,213,214
wall_path6_0184,path6,340,347,213,214
wall_path6_0185,path6,161,165,214,215
wall_path6_0186,path6,198,202,214,215
wall_path6_0187,path6,279,285,214,215
wall_path6_0188,path6,342,349,214,215
wall_path6_0189,path6,162,166,215,216
wall_path6_0190,path6,196,201,215,216
wall_path6_0191,path6,281,287,215,216
wall_path6_0192,path6,344,352,215,216
wall_path6_0193,path6,163,166,216,217
wall_path6_0194,path6,194,200,216,217
wall_path6_0195,path6,282,288,216,217
wall_path6_0196,path6,347,354,216,217
wall_path6_0197,path6,163,167,217,218
wall_path6_0198,path6,193,198,217,218
wall_path6_0199,path6,284,290,217,218
wall_path6_0200,path6,349,356,217,218
wall_path6_0201,path6,164,168,218,219
wall_path6_0202,path6,191,197,218,219
wall_path6_0203,path6,286,292,218,219
wall_path6_0204,path6,351,358,218,219
wall_path6_0205,path6,165,169,219,220
wall_path6_0206,path6,189,195,219,220
wall_path6_0207,path6,288,294,219,220
wall_path6_0208,path6,353,360,219,220
wall_path6_0209,path6,166,170,220,221
wall_path6_0210,path6,188,193,220,221
wall_path6_0211,path6,289,295,220,221
wall_path6_0212,path6,355,363,220,221
wall_path6_0213,path6,167,170,221,222
wall_path6_0214,path6,186,192,221,222
wall_path6_0215,path6,291,297,221,222
wall_path6_0216,path6,358,365,221,222
